"id","condition","age","gender","country","feel_before","feel_after","trust_in_donation","notice","alone","comp_or_phone","willingness","amount_r","amount_n","willingness_n","eyes_n","emotion_n","alone_n","size_n","notice_n"
1,"Happy",37,"Female","Denmark",9,9,1,"Yes","less than 5","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,1,0,1,1
2,"Happy",28,"Female","Denmark",6,6,5,"Yes","I'm alone","Computer","Yes","donate 50-70 DKK",4,1,1,1,1,0,1
3,"Happy",27,"Male","Denmark",4,5,8,"No","less than 5","Phone","No","donate 30-50 DKK",3,0,1,1,0,1,0
4,"Happy",30,"Female","Denmark",9,9,7,"Yes","less than 5","Phone","Yes","donate 10-30 DKK",2,1,1,1,0,1,1
5,"Happy",19,"Female","Denmark",9,9,7,"Yes","I'm alone","Computer","Yes","donate 50-70 DKK",4,1,1,1,1,0,1
6,"Happy",23,"Female","Denmark",8,8,7,"Yes","I'm alone","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,1,1,1,1
7,"Happy",35,"Female","Denmark",8,8,7,"No","less than 5","Computer","Yes","donate 30-50 DKK",3,1,1,1,0,0,0
8,"Happy",27,"Female","Denmark",7,8,6,"Yes","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,1,1,0,1
9,"Happy",24,"Male","Denmark",5,5,5,"Yes","less than 5","Phone","Yes","donate 10-30 DKK",2,1,1,1,0,1,1
10,"Happy",24,"Female","Denmark",7,7,8,"Yes","more than 5","Phone","No","donate 100 DKK (donate all the money)",6,0,1,1,0,1,1
11,"Happy",22,"Female","Denmark",7,7,2,"Yes","I'm alone","Computer","Yes","donate 10-30 DKK",2,1,1,1,1,0,1
12,"Happy",21,"Female","Hungary",5,6,7,"Yes","I'm alone","Computer","Yes","donate 4000 HUF (donate all the money)",6,1,1,1,1,0,1
13,"Happy",21,"Female","Hungary",7,5,4,"Yes","less than 5","Phone","No","donate 400-1200 HUF",2,0,1,1,0,1,1
14,"Happy",34,"Female","Denmark",8,8,3,"No","I'm alone","Computer","No","donate less than 10 DKK",1,0,1,1,1,0,0
15,"Happy",19,"Female","Denmark",8,8,8,"Yes","I'm alone","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,1,1,1,1
16,"Happy",24,"Female","Denmark",7,7,3,"Yes","more than 5","Computer","Yes","donate 10-30 DKK",2,1,1,1,0,0,1
17,"Happy",19,"Male","Denmark",8,7,4,"Yes","I'm alone","Computer","No","donate 30-50 DKK",3,0,1,1,1,0,1
18,"Happy",33,"Female","Denmark",8,8,1,"Yes","I'm alone","Computer","No","donate less than 10 DKK",1,0,1,1,1,0,1
19,"Happy",19,"Female","Denmark",5,7,8,"Yes","I'm alone","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,1,1,1,1
20,"Happy",23,"Female","Denmark",9,9,7,"Yes","I'm alone","Phone","Yes","donate 10-30 DKK",2,1,1,1,1,1,1
21,"Happy",23,"Female","Denmark",4,4,5,"Yes","I'm alone","Computer","Yes","donate 10-30 DKK",2,1,1,1,1,0,1
22,"Happy",23,"Female","Denmark",8,8,4,"Yes","I'm alone","Phone","No","donate 50-70 DKK",4,0,1,1,1,1,1
23,"Happy",22,"Female","Hungary",7,7,6,"Yes","I'm alone","Computer","Yes","donate less than 400 HUF",1,1,1,1,1,0,1
24,"Happy",23,"Male","Denmark",8,8,8,"Yes","I'm alone","Computer","Yes","donate 30-50 DKK",3,1,1,1,1,0,1
25,"Happy",19,"Male","Denmark",7,8,5,"No","I'm alone","Computer","Yes","donate 30-50 DKK",3,1,1,1,1,0,0
26,"Happy",21,"Female","Denmark",2,3,4,"No","I'm alone","Phone","No","donate 30-50 DKK",3,0,1,1,1,1,0
27,"Happy",38,"Female","Denmark",6,6,2,"Yes","I'm alone","Phone","Yes","donate 30-50 DKK",3,1,1,1,1,1,1
28,"Happy",24,"Male","Denmark",10,9,3,"No","I'm alone","Phone","Yes","donate less than 10 DKK",1,1,1,1,1,1,0
29,"Happy",38,"Female","Denmark",8,8,3,"No","less than 5","Phone","Yes","donate 30-50 DKK",3,1,1,1,0,1,0
30,"Happy",31,"Female","Denmark",7,7,4,"Yes","less than 5","Phone","Yes","donate 30-50 DKK",3,1,1,1,0,1,1
31,"Happy",21,"Female","Denmark",8,8,4,"Yes","I'm alone","Computer","Yes","donate 50-70 DKK",4,1,1,1,1,0,1
32,"Happy",22,"Female","Denmark",5,5,4,"Yes","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,1,1,0,1
33,"Happy",30,"Female","Denmark",10,10,9,"Yes","less than 5","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,1,0,1,1
34,"Happy",27,"Female","Denmark",6,5,5,"Yes","I'm alone","Phone","Yes","donate less than 10 DKK",1,1,1,1,1,1,1
35,"Happy",28,"Female","Denmark",8,7,2,"No","I'm alone","Phone","Yes","donate 30-50 DKK",3,1,1,1,1,1,0
36,"Happy",25,"Female","Denmark",7,7,2,"Yes","less than 5","Phone","Yes","donate 10-30 DKK",2,1,1,1,0,1,1
37,"Happy",23,"Female","Denmark",7,7,8,"Yes","less than 5","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,1,0,1,1
38,"Happy",30,"Female","Denmark",7,7,8,"No","I'm alone","Computer","No","donate 10-30 DKK",2,0,1,1,1,0,0
39,"Happy",26,"Female","Denmark",8,8,3,"No","I'm alone","Phone","No","donate 70-90 DKK",5,0,1,1,1,1,0
40,"Happy",23,"Male","Denmark",8,8,7,"No","less than 5","Phone","Yes","donate 10-30 DKK",2,1,1,1,0,1,0
41,"Happy",59,"Male","Denmark",8,8,8,"Yes","less than 5","Computer","Yes","donate 10-30 DKK",2,1,1,1,0,0,1
42,"Happy",26,"Female","Denmark",7,7,4,"Yes","I'm alone","Phone","No","donate less than 10 DKK",1,0,1,1,1,1,1
43,"Happy",31,"Female","Denmark",7,7,7,"Yes","I'm alone","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,1,1,1,1
44,"Happy",22,"Female","Denmark",6,7,5,"Yes","I'm alone","Phone","Yes","donate 30-50 DKK",3,1,1,1,1,1,1
45,"Happy",23,"Female","Denmark",7,7,8,"Yes","more than 5","Computer","Yes","donate 50-70 DKK",4,1,1,1,0,0,1
46,"Happy",23,"Female","Denmark",7,7,8,"Yes","more than 5","Computer","Yes","donate 50-70 DKK",4,1,1,1,0,0,1
47,"Happy",24,"Female","Denmark",5,5,5,"Yes","I'm alone","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,1,1,1,1
48,"Happy",23,"Male","Denmark",8,7,2,"Yes","I'm alone","Computer","No","donate 50-70 DKK",4,0,1,1,1,0,1
49,"Happy",23,"Female","Other",8,6,4,"Yes","more than 5","Phone","No","donate 10-30 DKK",2,0,1,1,0,1,1
50,"Happy",20,"Female","Denmark",7,7,3,"Yes","I'm alone","Computer","Yes","donate 30-50 DKK",3,1,1,1,1,0,1
51,"Happy",21,"Male","Denmark",5,5,3,"Yes","I'm alone","Phone","Yes","donate 50-70 DKK",4,1,1,1,1,1,1
52,"Happy",24,"Female","Other",9,9,7,"Yes","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,1,1,0,1
53,"Happy",22,"Female","Denmark",8,7,7,"Yes","I'm alone","Phone","Yes","donate 10-30 DKK",2,1,1,1,1,1,1
54,"Happy",26,"Male","Denmark",5,5,3,"No","less than 5","Phone","No","donate less than 10 DKK",1,0,1,1,0,1,0
55,"Happy",21,"Male","Other",9,8,5,"No","I'm alone","Computer","Yes","donate less than 10 DKK",1,1,1,1,1,0,0
56,"Happy",33,"Male","Denmark",5,5,2,"Yes","I'm alone","Computer","No","donate 10-30 DKK",2,0,1,1,1,0,1
57,"Happy",18,"Female","Other",7,7,5,"Yes","I'm alone","Phone","Yes","donate 10-30 DKK",2,1,1,1,1,1,1
58,"Happy",20,"Female","Denmark",5,5,2,"Yes","more than 5","Computer","Yes","donate 30-50 DKK",3,1,1,1,0,0,1
59,"Happy",19,"Female","Denmark",7,6,8,"Yes","less than 5","Computer","Yes","donate 30-50 DKK",3,1,1,1,0,0,1
60,"Happy",24,"Female","Denmark",6,8,6,"Yes","I'm alone","Computer","No","donate less than 10 DKK",1,0,1,1,1,0,1
61,"Happy",30,"Female","Denmark",8,8,2,"Yes","I'm alone","Phone","No","donate less than 10 DKK",1,0,1,1,1,1,1
62,"Happy",10,"Female","Hungary",8,8,7,"No","more than 5","Phone","Yes","donate 400-1200 HUF",2,1,1,1,0,1,0
63,"Happy",25,"Female","Denmark",8,8,4,"Yes","more than 5","Phone","Yes","donate 10-30 DKK",2,1,1,1,0,1,1
64,"Happy",25,"Female","Denmark",7,6,4,"Yes","less than 5","Computer","Yes","donate 10-30 DKK",2,1,1,1,0,0,1
65,"Happy",32,"Male","Denmark",6,6,1,"Yes","I'm alone","Computer","No","donate 10-30 DKK",2,0,1,1,1,0,1
66,"Happy",30,"Female","Denmark",4,3,4,"Yes","less than 5","Phone","Yes","donate 30-50 DKK",3,1,1,1,0,1,1
67,"Happy",23,"Male","Denmark",7,7,3,"Yes","less than 5","Computer","No","donate 50-70 DKK",4,0,1,1,0,0,1
68,"Happy",19,"Male","Other",7,7,5,"Yes","I'm alone","Phone","No","donate 10-30 DKK",2,0,1,1,1,1,1
69,"Happy",27,"Female","Denmark",6,6,3,"Yes","I'm alone","Phone","No","donate less than 10 DKK",1,0,1,1,1,1,1
70,"Happy",27,"Female","Denmark",6,6,3,"Yes","I'm alone","Computer","Yes","donate 10-30 DKK",2,1,1,1,1,0,1
71,"Happy",20,"Female","Denmark",6,6,4,"Yes","less than 5","Computer","Yes","donate 10-30 DKK",2,1,1,1,0,0,1
72,"Happy",23,"Female","Hungary",7,7,8,"Yes","I'm alone","Phone","Yes","donate 2000-2800 HUF",4,1,1,1,1,1,1
73,"Happy",18,"Female","Denmark",7,8,4,"No","more than 5","Phone","Yes","donate 10-30 DKK",2,1,1,1,0,1,0
74,"Happy",20,"Female","Denmark",8,9,2,"Yes","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,1,1,0,1
75,"Happy",27,"Female","Denmark",8,8,7,"No","I'm alone","Phone","Yes","donate 10-30 DKK",2,1,1,1,1,1,0
76,"Neutral",31,"Female","Denmark",6,6,5,"Yes","less than 5","Computer","Yes","donate 50-70 DKK",4,1,1,0,0,0,1
77,"Neutral",23,"Female","Denmark",9,9,6,"Yes","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,0,1,0,1
78,"Neutral",19,"Female","Other",10,10,8,"Yes","less than 5","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,0,0,1,1
79,"Neutral",22,"Female","Denmark",5,5,7,"Yes","I'm alone","Phone","Yes","donate 10-30 DKK",2,1,1,0,1,1,1
80,"Neutral",22,"Male","Denmark",7,9,1,"Yes","less than 5","Computer","No","donate less than 10 DKK",1,0,1,0,0,0,1
81,"Neutral",21,"Female","Denmark",10,10,5,"Yes","less than 5","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,0,0,0,1
82,"Neutral",26,"Female","Denmark",5,4,1,"Yes","less than 5","Computer","Yes","donate 10-30 DKK",2,1,1,0,0,0,1
83,"Neutral",32,"Female","Denmark",6,8,10,"Yes","less than 5","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,0,0,1,1
84,"Neutral",26,"Male","Denmark",3,3,7,"Yes","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,0,1,0,1
85,"Neutral",33,"Female","Denmark",8,8,5,"No","more than 5","Phone","Yes","donate 10-30 DKK",2,1,1,0,0,1,0
86,"Neutral",26,"Male","Denmark",7,7,2,"No","I'm alone","Computer","No","donate 10-30 DKK",2,0,1,0,1,0,0
87,"Neutral",24,"Female","Denmark",3,3,8,"Yes","I'm alone","Phone","Yes","donate 10-30 DKK",2,1,1,0,1,1,1
88,"Neutral",23,"Female","Denmark",7,8,8,"No","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,0,1,0,0
89,"Neutral",23,"Female","Denmark",7,7,6,"No","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,0,1,0,0
90,"Neutral",22,"Female","Denmark",7,7,9,"Yes","I'm alone","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,0,1,1,1
91,"Neutral",24,"Female","Denmark",8,8,8,"Yes","I'm alone","Computer","No","donate less than 10 DKK",1,0,1,0,1,0,1
92,"Neutral",22,"Female","Denmark",9,9,6,"Yes","I'm alone","Phone","Yes","donate 50-70 DKK",4,1,1,0,1,1,1
93,"Neutral",22,"Female","Hungary",8,7,6,"No","less than 5","Computer","Yes","donate 1200-2000 HUF",3,1,1,0,0,0,0
94,"Neutral",25,"Female","Denmark",6,6,1,"Yes","I'm alone","Phone","No","donate 100 DKK (donate all the money)",6,0,1,0,1,1,1
95,"Neutral",23,"Female","Other",7,7,5,"Yes","less than 5","Other","No","donate 50-70 DKK",4,0,1,0,0,0,1
96,"Neutral",23,"Female","Other",7,7,5,"Yes","less than 5","Other","No","donate 50-70 DKK",4,0,1,0,0,0,1
97,"Neutral",20,"Female","Denmark",8,9,6,"No","I'm alone","Phone","No","donate less than 10 DKK",1,0,1,0,1,1,0
98,"Neutral",22,"Female","Denmark",8,10,5,"No","I'm alone","Computer","Yes","donate 30-50 DKK",3,1,1,0,1,0,0
99,"Neutral",22,"Male","Denmark",7,7,3,"Yes","less than 5","Phone","No","donate less than 10 DKK",1,0,1,0,0,1,1
100,"Neutral",26,"Female","Denmark",5,5,6,"Yes","I'm alone","Computer","No","donate 30-50 DKK",3,0,1,0,1,0,1
101,"Neutral",21,"Female","Hungary",6,4,10,"Yes","I'm alone","Phone","Yes","donate 1200-2000 HUF",3,1,1,0,1,1,1
102,"Neutral",34,"Female","Denmark",7,7,6,"No","less than 5","Phone","No","donate 10-30 DKK",2,0,1,0,0,1,0
103,"Neutral",26,"Female","Denmark",2,2,4,"Yes","I'm alone","Phone","Yes","donate less than 10 DKK",1,1,1,0,1,1,1
